tree:asset_class:product_family:product_name
PRDS:::,PRDS:Rates Derivatives::
PRDS:::,PRDS:FX::
PRDS:::,PRDS:Credit Derivatives::
PRDS:::,PRDS:Equity Derivatives::
PRDS:::,PRDS:Hybrid Derivatives::
PRDS:::,PRDS:Commercial Banking::
PRDS:::,PRDS:Fees::
PRDS:::,PRDS:Collateralised Financing::
PRDS:::,PRDS:Bond Derivatives::
PRDS:::,PRDS:Debt Securities::
PRDS:::,PRDS:Equity Securities::
PRDS:::,PRDS:Commodity::
PRDS:::,PRDS:Cashflow::
PRDS:::,PRDS:Rates Derivatives::
PRDS:::,PRDS:Money Market Loans and Deposits::
PRDS:::,PRDS:Fund Derivatives::
PRDS:::,PRDS:Fund::
PRDS:::,PRDS:Hybrid Securities::
PRDS:Equity Derivatives::,PRDS:Equity Derivatives:CrashRatchet:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXSpot:
PRDS:FX::,PRDS:FX:FXSpot:
PRDS:FX::,PRDS:FX:FXSpot:
PRDS:FX::,PRDS:FX:FXSoftExotic:
PRDS:FX::,PRDS:FX:FXVanilla:
PRDS:FX::,PRDS:FX:FXVanilla:
PRDS:FX::,PRDS:FX:FXVanilla:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:FX::,PRDS:FX:FXLinear:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Collateralised Financing::,PRDS:Collateralised Financing:StockLending:
PRDS:Equity Derivatives::,PRDS:Equity Derivatives:EqSpot:
PRDS:Equity Derivatives::,PRDS:Equity Derivatives:EqSpot:
PRDS:Equity Derivatives::,PRDS:Equity Derivatives:EqSpot:
PRDS:Equity Derivatives::,PRDS:Equity Derivatives:EqSpot:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Equity Securities::,PRDS:Equity Securities:EqSpot:
PRDS:Debt Securities::,PRDS:Debt Securities:Convertibles:
PRDS:Debt Securities::,PRDS:Debt Securities:Convertibles:
PRDS:Debt Securities::,PRDS:Debt Securities:Convertibles:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
PRDS:Fees::,PRDS:Fees:Cash:
